alg      instance      k  rep    v         
G        flat50-1      0  1      539       
G        flat50-1      0  2      543       
G        flat50-1      0  3      540       
G        flat50-1      0  4      543       
G        flat50-1      0  5      538       
G        flat50-1      0  6      543       
G        flat50-1      0  7      540       
G        flat50-1      0  8      542       
G        flat50-1      0  9      541       
G        flat50-1      0  10     544       
G        flat50-1      0  11     544       
G        flat50-1      0  12     542       
alg      instance      k  rep    v         
G        flat50-1      0  13     539       
G        flat50-1      1  1      539       
G        flat50-1      0  14     542       
G        flat50-1      1  2      542       
G        flat50-1      0  15     541       
G        flat50-1      1  3      540       
G        flat50-1      0  16     542       
G        flat50-1      0  17     542       
G        flat50-1      0  18     543       
G        flat50-1      0  19     540       
G        flat50-1      0  20     543       
G        flat50-1      0  21     538       
G        flat50-1      0  22     541       
G        flat50-1      0  23     542       
G        flat50-1      0  24     539       
G        flat50-1      0  25     538       
G        flat50-1      0  26     538       
G        flat50-1      0  27     541       
G        flat50-1      0  28     541       
G        flat50-1      0  29     540       
G        flat50-1      0  30     541       
alg      instance      k  rep    v         
G        flat50-1      0  31     539       
G        flat50-1      0  32     541       
G        flat50-1      0  33     540       
G        flat50-1      0  34     541       
alg      instance      k  rep    v         
G        flat50-1      0  35     541       
G        flat50-1      0  36     541       
G        flat50-1      0  37     542       
G        flat50-1      0  38     542       
G        flat50-1      0  39     542       
G        flat50-1      0  40     542       
G        flat50-1      0  41     540       
G        flat50-1      0  42     541       
alg      instance      k  rep    v         
G        flat50-1      0  43     543       
G        flat50-1      0  44     541       
G        flat50-1      0  45     543       
alg      instance      k  rep    v         
G        flat50-1      0  46     541       
G        flat50-1      0  47     544       
G        flat50-1      0  48     540       
G        flat50-1      0  49     541       
alg      instance      k  rep    v         
G        flat50-1      0  50     541       
G        flat50-1      0  51     539       
G        flat50-1      0  52     539       
alg      instance      k  rep    v         
G        flat50-1      0  53     543       
G        flat50-1      0  54     542       
G        flat50-1      0  55     542       
G        flat50-1      0  56     539       
G        flat50-1      0  57     541       
G        flat50-1      0  58     543       
G        flat50-1      0  59     541       
G        flat50-1      0  60     541       
G        flat50-1      0  61     540       
G        flat50-1      0  62     542       
G        flat50-1      0  63     538       
G        flat50-1      0  64     541       
G        flat50-1      0  65     542       
G        flat50-1      0  66     540       
G        flat50-1      0  67     541       
G        flat50-1      0  68     541       
G        flat50-1      0  69     542       
G        flat50-1      0  70     542       
G        flat50-1      0  71     541       
G        flat50-1      0  72     540       
G        flat50-1      0  73     540       
G        flat50-1      0  74     542       
G        flat50-1      0  75     542       
G        flat50-1      0  76     543       
G        flat50-1      0  77     541       
G        flat50-1      0  78     542       
G        flat50-1      0  79     542       
G        flat50-1      0  80     538       
G        flat50-1      0  81     540       
G        flat50-1      0  82     538       
G        flat50-1      0  83     542       
G        flat50-1      0  84     540       
G        flat50-1      0  85     538       
